step	time	T	T-cg	T-at	Ekin	res	angle_255	angle_256	angle_257	angle_258	angle_259	angle_260	angle_261	angle_262	angle_263	angle_264	angle_265	angle_266	angle_267	angle_268	angle_269	angle_270	angle_271	angle_272	angle_273	angle_274	angle_275	angle_276	angle_277	angle_278	angle_279	angle_280	angle_281	angle_282	angle_283	angle_284	angle_285	angle_286	angle_287	angle_288	angle_289	angle_290	angle_291	angle_292	angle_293	angle_294	angle_295	angle_296	angle_297	angle_298	angle_299	angle_300	angle_301	angle_302	angle_303	angle_304	angle_305	angle_306	angle_307	angle_308	angle_309	angle_310	angle_311	angle_312	angle_313	angle_314	angle_315	angle_316_cross	angle_317_cross	angle_318_cross	angle_319_cross	angle_320_cross	angle_321_cross	angle_322_cross	angle_323_cross	angle_324_cross	angle_325_cross	angle_326_cross	bond_129	bond_130	bond_131	bond_132	bond_133	bond_134	bond_135	bond_136	bond_137	bond_138	bond_138_cross	bond_139	bond_140	bond_141	bond_142	bond_143	bond_144	bond_145	bond_146	bond_147	bond_148	bond_149_cross	bond_150_cross	bond_35	dihedral_0	dihedral_0_cross	dihedral_176	dihedral_190	dihedral_191	dihedral_30_cross	dihedral_51	dihedral_60	dihedral_61	dihedral_61_cross	dihedral_64_cross	lj	lj-tab
103250	103.25	2.47914	2.47525	2.47959	24989.7	0.02749	198.946	247.285	229.602	220.184	162.156	225.698	198.612	137.097	176.325	148.077	193.009	271.32	162.146	151.954	161.822	169.204	141.098	251.404	245.758	194.193	178.422	151.245	172.943	168.117	236.739	160.463	232.208	234.912	203.817	202.468	217.533	111.007	57.1137	42.1438	13.1983	39.9474	20.3397	27.1219	182.888	22.4302	121.87	109.871	132.293	121.951	195.203	151.453	136.731	130.829	129.024	92.306	113.233	110.153	103.728	137.158	145.31	195.959	179.098	112.855	149.585	102.12	106.213	236.556	131.959	160.831	146.171	260.244	135.034	1120.28	18.1215	96.6384	33.6886	19.6936	235.508	492.318	1076.35	537.497	575.08	1039.59	1010.87	563.875	323.863	135.442	40.6875	16.4136	81.914	30.2184	449.507	141.473	640.903	349.868	233.613	309.054	164.049	485.291	768.838	461.853	0	0	-611.298	102.966	657.661	789.033	4340.33	1314.41	764.52	63.2293	642.93	5312.1	-3621.37
103500	103.5	2.50752	2.47525	2.51127	25275.8	0.02999	219.535	236.665	219.194	275.995	168.736	180.329	163.818	181.717	167.9	188.771	226.021	273.87	194.824	169.348	157.208	162.233	180.055	241.093	292.554	205.486	152.17	151.433	177.189	194.238	226.938	173.164	243.866	219.089	191.042	242.34	224.236	84.2608	104.081	41.9556	25.356	16.7167	25.2438	21.6717	213.424	20.2114	94.36	100.185	128.737	96.6671	216.48	159.594	117.045	107.664	143.653	124.174	112.95	104.931	109.817	129.711	126.122	157.86	161.741	110.994	129.461	115.252	149.73	169.597	126.77	132.003	121.156	188.13	118.839	1109.63	31.5587	78.1945	46.4671	30.3372	238.307	506.545	1080.48	557.798	600.052	1304.83	1060.41	501.739	297.378	136.969	55.6374	19.9927	77.0151	12.5074	374.9	140.432	763.471	301.962	234.787	382.814	218.587	522.088	822.778	444.018	0	0	-616.809	86.7877	652.662	811.621	4347.49	1312.19	821.136	71.8737	609.564	5604.16	-3566.2
103750	103.75	2.46568	2.47525	2.46457	24854	0.03249	237.327	289.495	248.811	201.185	139.055	200.645	140.541	189.009	159.507	150.54	256.556	329.387	233.777	181.677	169.538	207.68	205.251	225.362	254.089	257.904	145.092	181.696	185.869	197.154	188.277	151.471	224.525	221.421	244.184	230.561	198.264	106.941	100.68	31.7677	23.861	30.264	25.8472	10.0587	214.241	28.3851	84.0586	92.9339	144.233	142.577	165.615	145.326	86.6221	120.888	132.037	93.9589	108.865	122.207	147.172	112.311	93.3371	191.915	176.001	113.495	155.66	128.673	138.934	202.067	158.909	148.486	153.885	224.118	160.824	1127.82	22.3555	144.467	10.7709	15.7893	237.229	459.954	1229.2	617.09	536.381	1177.89	965.519	581.436	262.86	80.1069	52.635	24.8969	66.0789	18.3144	469.855	138.901	902.012	302.559	258.765	337.88	161.845	437.23	847.342	493.307	0	0	-613.109	81.6953	645.069	793.291	4346.37	1315.64	825.79	69.3613	638.431	6075.01	-3546.96
104000	104	2.48761	2.47525	2.48905	25075.1	0.03499	240.511	242.484	260.128	219.015	166.906	187.077	158.285	187.185	185.215	158.18	238.307	372.682	187.305	226.248	176.762	234.269	191.052	304.186	232.68	211.257	155.063	140.471	179.675	184.103	196.521	174.89	228.512	242.838	224.877	265.073	200.672	115.733	82.5536	59.7877	27.2713	39.2583	24.0345	21.1946	195.811	19.5202	70.1374	136.346	119.927	130.361	210.582	137.392	121.624	152.058	157.249	81.8769	108.799	131.886	132.423	123.891	116.588	180.561	136.7	114.151	138.317	126.012	183.416	228.463	142.462	144.139	139.783	179.79	141.294	1112.41	19.0958	114.745	16.4693	23.0461	239.279	454.735	1274.24	492.722	630.389	1301.86	1025.15	581.592	254.687	125.158	45.1686	17.2347	74.6786	13.8998	471.721	121.804	998.175	326.489	224.857	379.644	169.07	433.206	881.503	431.42	0	0	-614.434	80.7143	652.789	795.956	4371.44	1331.69	798.428	67.0358	624.517	6282.64	-3544.86
104250	104.25	2.49079	2.47525	2.4926	25107.2	0.03749	212.552	212.332	246.571	246.56	166.849	150.384	189.342	157.413	203.897	153.059	256.927	389.15	223.66	159.02	167.761	157.435	157.068	234.935	239.968	257.571	176.727	122.601	193.235	149.682	224.513	155.127	239.154	247.583	257.257	238.877	200.541	97.1983	100.462	50.3871	18.9468	21.8448	19.5518	20.7988	219.483	36.8444	95.6205	94.5236	110.064	132.569	196.079	148.698	128.838	126.376	118.163	118.271	112.968	125.389	163.014	106.594	123.595	172.771	153.783	160.683	139.735	134.246	147.633	226.109	151.794	146.169	159.729	211.712	150.398	1087.03	22.6684	119.343	18.7168	16.5967	205.707	460.559	1122.07	526.202	597.471	1376.45	1037.26	592.833	301.091	141.839	58.7136	16.056	78.5988	35.0543	506.3	122.447	917.411	319.666	289.387	376.547	233.467	519.743	899.611	424.517	0	0	-610.157	69.2586	653.187	836.753	4357.22	1302.58	801.699	88.145	581.668	6777.29	-3554.11
104500	104.5	2.46369	2.47525	2.46235	24834	0.03999	237.369	231.659	254.495	224.781	160.511	200.131	172.516	157.522	169.625	169.806	231.129	382.719	209.05	177.153	180.242	155.533	220.042	259.11	242.454	245.562	168.947	177.983	184.23	162.145	198.741	178.824	229.64	228.407	204.261	186.955	198.267	81.6161	105.693	42.4868	18.4675	38.6582	35.3489	23.1712	217.069	24.1328	78.4213	98.325	123.599	132.951	215.787	125.683	117.272	104.865	180.122	145.122	132.132	117.337	127.124	136.703	120.556	198.09	150.539	165.442	140.532	140.531	154.539	240.247	153.606	145.753	150.533	216.807	136.226	1177.8	21.0751	159.954	25.1461	17.9975	218.639	547.939	1269.41	641.043	568.639	1445.7	1133.26	693.658	260.234	201.598	63.9938	40.1822	55.3269	12.2832	589.719	109.363	1121.55	436.402	355.041	417.396	186.747	436.59	895.687	458.367	0	0	-615.58	97.6582	638.502	777.83	4337.49	1307.62	800.488	70.6081	616.6	7026.6	-3574.8
104750	104.75	2.48832	2.47525	2.48984	25082.2	0.04249	249.485	245.923	225.683	200.719	166.276	176.478	195.728	153.687	185.278	158.936	243.765	476.517	198.064	173.739	207.07	175.696	202.841	265.058	247.505	277.28	140.307	174.899	203.581	170.97	174.049	154.169	219.681	251.388	220.083	228.459	251.576	91.466	73.209	58.8319	21.0595	24.6049	30.9368	26.5263	222.079	22.0426	98.8664	76.1893	100.24	125.873	207.209	125.776	135.602	131.178	149.474	126.956	101.228	163.595	149.378	114.421	135.815	204.53	170.585	105.249	169.24	121.88	137.533	196.889	123.807	135.849	130.029	203.822	125.707	1065.16	13.6628	151.333	21.4073	34.7217	230.333	464.265	1339.99	638.738	749.349	1447.67	1001.2	534.086	278.326	149.511	75.9183	29.782	70.1041	31.9641	581.165	116.801	1298.72	359.441	320.408	422.289	212.558	531.822	923.133	428.605	0	0	-606.384	70.5479	649.967	783.481	4351.27	1329.97	805.398	86.8222	602.157	7472.25	-3608.63
105000	105	2.46304	2.47525	2.46162	24827.4	0.04499	232.576	253.175	283.009	257.449	159.798	192.271	164.308	185.153	198.837	154.506	224.666	477.679	254.185	158.227	220.699	169.282	193.463	270.608	294.388	301.92	177.556	164.581	184.163	153.177	202.312	184.787	237.419	198.548	206.496	203.671	211.918	126.519	72.2903	58.2265	23.0698	21.4376	37.2833	16.4253	239.724	15.3337	82.4179	79.6312	148.645	135.105	247.644	145.014	162.399	121.237	139.585	73.2899	121.992	93.9918	150.198	132.342	130.769	164.659	196.234	107.213	151.834	172.894	166.961	245.311	164.617	149.5	113.776	229.322	130.896	1141.67	26.0309	170.072	13.5017	14.1728	195.178	485.443	1296.5	513.453	671.106	1696.66	1091.81	626.317	313.867	154.643	49.7755	19.2752	67.9899	30.6586	564.221	119.581	1355.76	365.771	328.805	432.555	181.905	498.233	969.914	479.36	0	0	-622.203	61.5572	638.345	838.959	4354.2	1278.05	759.566	80.5456	603.128	7858.02	-3574.63
105250	105.25	2.44241	2.47525	2.43859	24619.5	0.04749	277.254	263.436	260.128	189.113	157.677	194.808	165.676	181.164	155.269	164.788	260.846	467.263	217.09	170.085	196.763	204.091	188.774	293.438	254.547	287.627	146.479	132.634	213.143	169.581	221.142	183.624	235.228	206.754	286.168	255.094	224.527	118.351	71.8755	52.465	15.757	23.4693	24.0651	29.6844	208.147	37.0158	80.0127	99.5509	127.827	103.525	259.036	108.026	138.912	148.749	159.221	115.684	140.634	103.151	128.165	124.296	122.322	173.145	146.38	90.6087	161.051	124.822	146.27	263.065	139.226	131.683	138.178	250.884	154.838	1169.67	18.5886	147.162	13.8969	21.5956	228.709	497.4	1350.87	652.281	681.212	1653.95	1065.51	540.793	274.928	198.407	52.4535	28.3283	100.146	18.5957	593.86	108.923	1364.99	390.241	436.476	401.101	201.86	450.131	870.435	464.887	0	0	-622.75	71.5084	659.301	738.756	4342.87	1302.94	774.341	65.3512	626.634	8161.36	-3544.72
105500	105.5	2.50947	2.47525	2.51345	25295.5	0.04999	247.149	244.477	262.938	265.153	193.098	224.596	173.758	211.837	170.828	177.966	288.583	474.037	236.934	208.006	214.225	157.246	174.443	270.135	242.333	224.301	169.946	187.181	183.424	165.201	184.097	158.563	206.719	240.864	236.888	220.863	228.519	77.7296	102.012	39.9698	40.1114	26.1519	21.6116	23.3152	240.801	13.8574	90.4047	79.8293	110.592	144.915	234.856	135.664	136.29	171.017	148.607	109.513	134.528	116.435	155.667	124.784	132.933	181.486	185.364	116.535	148.751	137.836	169.79	235.234	147.034	121.79	156.634	219.971	148.587	1191.91	23.5017	106.074	34.1817	23.177	214.954	505.79	1380.82	723.592	789.707	1804.19	1203.59	530.907	251.878	264.935	56.5165	23.4939	81.8544	19.7184	591.838	129.32	1244.58	407.36	380.175	494.979	217.272	481.719	1010.87	499.253	0	0	-612.853	90.0046	658.115	806.009	4369.29	1302.41	825.077	56.5863	588.489	8432.54	-3539.76
