step	time	T	T-cg	T-at	Ekin	res	angle_255	angle_256	angle_257	angle_258	angle_259	angle_260	angle_261	angle_262	angle_263	angle_264	angle_265	angle_266	angle_267	angle_268	angle_269	angle_270	angle_271	angle_272	angle_273	angle_274	angle_275	angle_276	angle_277	angle_278	angle_279	angle_280	angle_281	angle_282	angle_283	angle_284	angle_285	angle_286	angle_287	angle_288	angle_289	angle_290	angle_291	angle_292	angle_293	angle_294	angle_295	angle_296	angle_297	angle_298	angle_299	angle_300	angle_301	angle_302	angle_303	angle_304	angle_305	angle_306	angle_307	angle_308	angle_309	angle_310	angle_311	angle_312	angle_313	angle_314	angle_315	angle_316_cross	angle_317_cross	angle_318_cross	angle_319_cross	angle_320_cross	angle_321_cross	angle_322_cross	angle_323_cross	angle_324_cross	angle_325_cross	angle_326_cross	bond_129	bond_130	bond_131	bond_132	bond_133	bond_134	bond_135	bond_136	bond_137	bond_138	bond_138_cross	bond_139	bond_140	bond_141	bond_142	bond_143	bond_144	bond_145	bond_146	bond_147	bond_148	bond_149_cross	bond_150_cross	bond_35	dihedral_0	dihedral_0_cross	dihedral_176	dihedral_190	dihedral_191	dihedral_30_cross	dihedral_51	dihedral_60	dihedral_61	dihedral_61_cross	dihedral_64_cross	lj	lj-tab
11250	11.25	2.62652	2.47525	2.64411	26475.3	0.0249	251.191	219.744	287.633	365.145	155.152	178.711	182.452	165.601	176.618	164.758	210.796	235.604	213.785	186.067	175.551	188.37	192.432	227.032	173.336	208.427	191.357	180.763	154.608	190.693	235.989	196.903	210.717	257.705	208.38	295.817	214.898	126.146	97.7307	24.1299	19.287	16.1366	20.8059	24.665	231.567	23.7273	71.9867	108.869	150.93	166.483	135.083	153.508	92.6397	120.161	146.697	121.351	127.093	119.289	108.764	96.9469	126.914	143.963	183.515	133.977	89.3472	105.092	125.295	277.111	149.503	172.491	189.572	215.997	175.693	1180.45	42.5237	48.4598	25.9372	39.9899	185.23	545.436	1129.92	552.257	545.459	1020.57	934.633	486.691	251.231	58.434	47.2785	23.781	54.9045	21.9011	280.548	125.73	401.697	251.544	172.863	258.219	149.332	539.405	1216.22	518.62	0	0	-616.017	72.8807	660.868	928.253	4386.97	1526.94	777.604	62.7486	636.338	2666.67	-3073.13
11500	11.5	2.49472	2.47525	2.49699	25146.8	0.0499	277.776	251.397	310.135	259.339	179.268	179.913	181.153	182.111	179.134	175.403	192.219	170.598	166.949	162.427	214.955	185.043	169.972	198.017	169.581	208.471	175.334	195.807	137.104	182.709	164.5	170.873	290.039	285.693	200.188	232.906	245.499	95.4032	62.2517	31.1453	35.8928	25.9919	11.5326	24.7564	235.284	20.3145	82.1867	93.4735	96.8846	90.8028	153.673	130.163	101.197	122.402	88.2439	131.253	124.518	103.644	78.4904	74.9485	81.3665	116.116	180.384	141.942	83.4562	109.337	106.218	198.848	158.664	139.843	166.407	201.371	148.902	1165.99	26.2769	20.6115	22.3694	24.5016	221.034	576.495	1277.9	528.337	814.973	1215.81	1041.97	426.38	214.848	53.6779	50.4627	19.2732	81.7358	28.6568	287.591	105.51	390.449	215.606	111.978	223.852	123.129	555.543	1171.47	499.538	0	0	-605.594	67.1889	658.242	909.964	4400.49	1489.81	761.826	66.7164	641.027	3477.96	-2969.82
11750	11.75	2.51331	2.47525	2.51773	25334.1	0.0749	258.826	242.093	297.375	283.237	160.405	213.167	191.401	188.823	198.919	196.462	209.975	154.082	162.255	179.116	195.251	168.023	222.609	181.31	178.542	177.569	151.386	170.619	199.636	203.512	194.765	184.695	229.99	242.394	181.214	248.112	242.32	64.287	77.6016	28.1354	24.0391	26.1628	27.9819	32.1037	253.321	28.0266	74.2889	84.3568	106.373	152.357	137.052	147.57	95.8181	77.7547	88.951	125.051	102.135	109.777	113.458	93.941	91.4555	109.05	132.607	90.0055	95.3448	115.376	94.5017	221.738	137.749	156.3	158.819	224.559	157.511	1211.89	23.6433	25.9939	6.51074	38.0904	246.59	471.27	1553.98	608.115	1013.44	1363.69	1185.29	452.347	287.873	64.9336	34.2404	20.4668	82.4324	27.133	273.934	120.072	383.972	221.875	124.479	242.077	145.229	451.533	1169.45	472.849	0	0	-604.56	77.0118	659.355	820.09	4378.54	1492.18	743.156	65.3549	638.459	4331.93	-2962.46
12000	12	2.48585	2.47525	2.48708	25057.3	0.0999	254.7	239.195	295.945	231.14	160.614	209.887	151.326	166.504	157.39	175.276	210.833	197.749	179.648	179.15	200.548	200.125	207.016	212.39	176.813	220.573	188.642	159.962	173.989	218.703	196.228	177.029	222.33	246.464	234.824	211.178	209.845	89.9752	83.5861	17.8247	22.0639	12.9435	28.1284	15.408	186.915	19.2637	101.351	134.512	100.758	149.634	154.939	165.269	108.902	77.8405	116.428	132.325	107.073	95.9415	94.8397	96.7678	96.7407	110.586	204.957	111.3	100.423	90.3949	139.887	204.406	153.025	156.611	168.139	207.123	156.157	1226.06	24.1427	36.6187	17.7783	25.6609	221.523	486.633	2069.2	770.592	1258.4	1512.25	1312.38	437.597	296.735	37.4287	44.572	37.7968	76.0368	29.8187	226.669	127.216	379.409	256.947	114.418	212.604	122.712	477.068	1091.51	425.696	0	0	-592.192	60.4359	647.806	837.339	4414.19	1508.05	788.063	75.1227	617.692	5120.59	-2919.47
12250	12.25	2.51662	2.47525	2.52143	25367.5	0.1249	272.054	236.829	340.748	297.66	174.352	178.51	178.863	188.24	207.687	171.998	140.538	165.712	160.695	195.877	198.475	163.129	188.029	186.4	180.151	168.495	144.789	205.248	170.932	168.448	189.562	160.557	237.96	235.615	227.802	251.967	212.689	82.829	100.555	19.3593	30.2152	23.8391	22.6119	24.126	189.724	21.4603	88.2146	128.266	125.243	144.335	154.815	174.453	101.598	122.057	103.355	133.563	98.8704	90.4948	114.03	129.155	116.071	155.412	179.656	109.378	104.627	139.903	66.8429	202.942	159.555	174.727	176.917	219.696	164.81	1118.55	44.2975	20.1779	11.3604	25.8916	228.093	580.634	2234.2	777.101	1465.02	1919.09	1467.15	487.9	342.651	49.5466	39.226	32.3459	64.3958	26.8261	301.643	178.363	360.819	263.475	138.312	270.072	121.877	380.295	1053.68	484.855	0	0	-593.248	70.265	638.067	918.927	4412.84	1489.66	801.724	62.4331	613.997	5362.06	-2929.4
12500	12.5	2.51067	2.47525	2.51478	25307.5	0.1499	219.833	250.897	360.599	282.676	182.279	242.609	193.339	214.772	184.537	194.734	209.558	185.52	200.075	193.085	187.934	139.16	176.547	233.579	211.611	169.102	169.705	149.658	181.81	165.811	207.758	212.861	248.154	235.243	205.228	260.854	227.209	159.087	57.0669	23.1487	26.9861	24.1595	22.6248	11.8066	193.689	28.7805	110.472	99.067	142.554	153.786	130.71	151.527	89.4029	98.7145	88.4225	72.2571	126.231	100.79	110.067	107.833	115.338	120.673	150.248	128.396	112.087	131.635	100.279	192.156	163.236	172.481	133.75	243.744	133.996	1119.51	19.9113	24.4259	24.9182	31.84	190.33	502.169	2442.6	911.176	1871.88	2398.58	1435.25	475.395	243.182	42.3393	56.0765	22.8073	104.583	16.8343	277.947	127.462	395.772	244.389	103.084	255.347	114.235	540.852	1032.09	459.053	0	0	-590.306	65.6161	641.43	824.453	4407.98	1468.13	809.409	69.4162	596.674	5536.94	-2969.1
12750	12.75	2.48966	2.47525	2.49133	25095.7	0.1749	269.405	280.761	289.767	288.498	170.152	197.335	183.798	166.005	197.985	140.003	216.002	186.829	168.638	222.048	204.785	183.074	192.438	214.302	219.004	177.388	215.94	174.077	169.018	201.097	204.987	176.669	264.251	226.763	244.028	209.843	231.972	112.313	58.1246	28.4176	25.7548	29.2425	17.5024	36.0924	226.501	24.0024	110.012	84.1743	127.004	137.516	168.849	179.959	90.532	110.535	96.8901	83.455	100.657	103.677	89.2619	80.7825	115.485	123.326	147.37	114.767	114.24	98.7139	104.879	260.376	144.215	139.791	186.624	236.214	182.798	1231.23	29.1624	22.7739	32.4559	42.7807	233.685	546.961	2842.25	941.028	2088.11	2464.22	1540.69	431	286.004	47.2277	46.2631	36.4249	61.9485	29.3178	273.934	146.335	334.04	201.373	107.781	233.751	125.532	456.242	863.152	532.498	0	0	-578.763	51.9045	646.139	825.572	4418.17	1432.14	814.131	70.9397	603.213	5962.47	-2910.76
13000	13	2.50047	2.47525	2.5034	25204.7	0.1999	220.125	283.509	290.474	264.604	150.096	258.73	171.934	171.624	178.067	166.358	191.623	202.225	196.14	212.436	197.644	179.201	210.908	197.032	208.18	154.793	156.247	167.824	190.286	193.754	190.811	177.033	212.632	232.126	217.698	249.358	223.908	82.5701	75.0538	43.8705	27.079	21.161	14.2565	26.5884	204.05	21.2853	95.0385	121.282	115.603	121.409	182.715	165.88	77.0223	109.146	122.592	126.4	103.985	89.9069	107.274	111.634	111.238	147.502	164.788	105.374	97.7183	108.858	122.638	218.518	168.228	194.043	212.805	238.035	193.878	1184.67	27.7021	14.7918	32.5893	25.0362	203.979	494.617	3046.85	1051.1	2386.41	2664.27	1666.72	551.955	309.751	51.4474	28.1703	25.0057	74.2197	31.6004	250.514	113.888	393	218.246	108.807	285.298	128.598	520.995	901.342	414.469	0	0	-582.29	113.394	642.311	868.506	4423.26	1431.71	813.544	63.296	612.523	5953.54	-2877.22
13250	13.25	2.48906	2.47525	2.49066	25089.7	0.2249	252.02	235.907	359.752	273.175	155.354	183.884	137.395	181.981	190.603	175.698	221.669	177.888	197.505	181.73	165.803	199.677	161.951	174.004	173.109	182.933	134.809	139.806	182.043	169.915	180.644	194.999	188.662	259.247	231.701	252.691	219.855	103.567	65.8217	29.9219	16.8213	26.5227	10.9889	26.7267	247.565	10.2699	69.2079	83.2511	165.777	103.165	208.589	188.987	92.1402	124.039	115.955	121.73	120.766	129.348	82.1848	84.8123	117.431	148.847	154.616	113.446	123.733	83.6337	100.759	228.556	199.408	151.779	153.027	216.215	147.679	1300.5	21.9203	29.3425	12.9009	35.9663	214.11	478.254	3339.49	1178.59	2592.69	2866.31	1510.37	474.243	271.524	51.1333	62.1681	26.4904	86.6568	36.352	248.997	128.25	378.015	259.317	142.018	267.311	122.35	414.434	974.814	493.288	0	0	-577.332	92.9817	623.313	875.798	4413.76	1448.81	829.092	69.9332	592.842	6194.65	-2819.72
13500	13.5	2.51517	2.47525	2.51981	25352.9	0.2499	295.324	280.932	326.187	323.957	182.243	178.647	199.818	166.402	188.009	180.639	208.983	149.08	199.71	196.148	161.299	148.371	176.546	204.17	165.043	169.354	165.439	193.441	176.958	200.727	237.646	154.621	198.241	232.165	230.235	254.497	209.33	102.456	90.4922	20.9061	29.2399	30.8076	27.2798	27.0722	206.499	19.201	106.841	91.9317	111.859	135.755	163.826	154.311	82.6878	92.0707	94.6803	125.023	86.0791	106.735	109.82	97.6264	100.186	192.167	210.65	88.8299	101.952	122.631	96.8512	198.192	162.173	207.006	201.625	243.69	181.349	1183.79	23.705	22.1291	20.4555	18.2375	235.117	507.513	3446.46	1116.63	3067.43	2847.76	1784.54	428.378	258.409	66.2625	45.4553	35.427	60.6534	20.7538	209.305	153.124	406.992	267.145	110.369	208.953	146.56	477.736	911.295	427.72	0	0	-575.477	64.4739	635.52	916.094	4403.67	1429.26	810.402	62.949	577.783	6307.29	-2785.88
