step	time	T	T-cg	T-at	Ekin	res	angle_252_cross	angle_254_cross	angle_255	angle_256	angle_257	angle_258	angle_259	angle_260	angle_261	angle_262	angle_263	angle_264	angle_265	angle_266	angle_267	angle_268	angle_269	angle_270	angle_271	angle_272	angle_273	angle_274	angle_275	angle_276	angle_277	angle_278	angle_279	angle_280	angle_281	angle_282	angle_283	angle_284	angle_285	angle_286	angle_287	angle_288	angle_289	angle_290	angle_291	angle_292	angle_293	angle_294	angle_295	angle_296	angle_297	angle_298	angle_299	angle_300	angle_301	angle_302	angle_303	angle_304	angle_305	angle_306	angle_307	angle_308	angle_309	angle_310	angle_311	angle_312	angle_313	angle_314	angle_315	angle_316_cross	angle_317_cross	angle_318_cross	angle_319_cross	angle_320_cross	angle_321_cross	angle_322_cross	angle_323_cross	angle_324_cross	angle_325_cross	angle_326_cross	bond_125_cross	bond_126_cross	bond_127_cross	bond_129	bond_130	bond_131	bond_132	bond_133	bond_134	bond_135	bond_136	bond_137	bond_138	bond_138_cross	bond_139	bond_140	bond_141	bond_142	bond_143	bond_144	bond_145	bond_146	bond_147	bond_148	bond_149_cross	bond_150_cross	bond_35	dihedral_0	dihedral_0_cross	dihedral_176	dihedral_190	dihedral_191	dihedral_30_cross	dihedral_51	dihedral_60	dihedral_61	dihedral_61_cross	dihedral_64_cross	tab-cg
250	0.25	2.51095	2.47525	2.51511	25310.4	0.000249	1448.25	73.4267	270.912	234.804	260.219	205.564	152.656	180.804	172.568	179.111	204.75	134.848	204.61	176.823	179.919	170.25	204.484	180.38	154.814	199.889	187.363	201.994	164.74	146.811	187.492	201.029	177.27	195.99	248.828	280.431	243.257	277.887	208.264	106.689	84.4146	20.2747	22.7182	24.4709	24.7988	23.364	236.696	19.3212	95.21	78.714	143.13	107.009	111.81	129.367	97.3909	101.379	90.5613	140.432	95.5198	100.91	110.439	128.458	104.812	110.157	130.322	112.564	105.676	93.2947	120.056	0.00391426	0.00135018	0.000821682	0.000589729	0.00455153	0.00160085	0.0136745	8.09583e-05	0.000125233	9.94378e-05	0.000253339	630.542	409.7	73.4737	207.704	550.109	1029.29	487.691	448.614	956.54	953.222	434.055	271.449	53.5334	0.0860379	23.0909	74.7151	19.0724	271.309	125.983	349.879	215.656	101.997	234.411	135.561	1.30451	0.0202413	543.546	0	0	-685.685	55.1632	692.699	0.00027857	4474.12	1193.23	963.894	8.29453e-06	6.91216e-05	-3921.07
500	0.5	2.42228	2.47525	2.41612	24416.6	0.000499	1461.74	77.3143	208.058	220.447	233.63	240.295	137.101	244.173	135.44	156.504	139.563	168.099	182.974	178.621	143.49	157.572	161.926	210.207	189.35	196.91	188.803	172.822	153.975	196.158	181.82	197.112	170.642	154.336	181.021	246.704	256.615	230.326	191.141	110.435	98.5074	30.8775	10.762	21.8406	28.3498	36.8288	218.11	17.7848	92.0432	87.9896	121.668	117.486	174.12	112.412	69.5867	107.215	95.5625	118.171	101.644	103.758	95.9603	116.396	123.721	123.317	153.562	108.457	92.5245	147.385	116.561	0.0164921	0.00540229	0.00323497	0.00246237	0.0164031	0.0060261	0.0546051	0.000327179	0.000685191	0.000440419	0.001215	649.715	391.709	56.5665	207.31	475.446	853.824	430.287	400.63	836.652	917.482	443.816	239.622	51.9696	0.349286	15.3055	66.0885	22.3322	249.087	134.084	382.995	239.604	146.55	232.484	112.936	5.13027	0.0794592	474.216	0	0	-690.551	85.5829	679.37	0.00109499	4364.3	1234.04	819.582	3.67364e-05	0.000279564	-3899.81
750	0.75	2.47697	2.47525	2.47717	24967.9	0.000749	1462.78	68.9089	260.31	193.556	209.359	212.843	150.253	179.575	166.764	136.122	158.534	176.283	191.544	180.363	179.332	174.533	172.718	174.911	141.044	182.647	160.912	206.421	139.564	188.795	178.538	166.513	176.842	160.814	196.698	213.776	236.627	251.939	180.816	86.5007	126.16	13.1365	23.8803	24.2296	31.4	28.8829	235.317	36.0689	83.3509	96.4469	89.0048	117.655	142.463	164.806	85.1747	103.561	98.0208	99.3363	84.2363	87.8214	83.9579	81.5609	86.4602	117.707	120.975	114.797	126.628	97.7414	79.3177	0.0359472	0.0122577	0.00689317	0.00536792	0.0359528	0.0138835	0.122411	0.000474674	0.00177638	0.000956193	0.00210534	530.124	380.802	50.1603	259.955	484.73	916.22	399.116	409.927	913.872	886.35	443.992	279.682	36.5917	0.774125	25.2413	59.0639	22.2581	233.925	108.153	382.969	234.421	118.486	303.733	125.068	11.439	0.176068	475.69	0	0	-663.33	59.1317	663.289	0.00249221	4361.94	1247.79	802.879	9.57088e-05	0.00064031	-3853.87
1000	1	2.51869	2.47525	2.52374	25388.4	0.000999	1441.74	65.2517	231.468	240.149	252.637	231.446	143.707	227.973	157.968	169.161	197.824	177.069	195.208	216.996	188.469	164.336	155.025	152.826	158.365	197.202	185.375	176.078	165.703	161.018	160.229	175.699	211.106	169.123	234.853	278.892	239.683	217.938	238.845	87.0171	81.5827	25.8988	19.4282	26.5724	24.6547	24.5092	190.623	16.5061	87.7785	137.351	100.509	105.073	119.664	165.089	88.4448	73.9133	79.2119	114.755	90.7828	94.6903	85.0505	116.028	90.0004	105.804	120.708	66.1805	101.209	109.41	114.421	0.0627452	0.0208201	0.0125694	0.010168	0.0621958	0.0250665	0.217516	0.00120743	0.00314765	0.00147869	0.00328786	657.739	389.884	55.1999	238.132	530.894	980.203	397.136	486.277	853.128	906.579	473.803	254.242	64.0147	1.38704	26.9861	85.9298	26.3812	205.098	159.47	406.464	227.261	133.792	243.756	118.78	20.0915	0.312278	467.544	0	0	-667.471	109.438	673.417	0.0045017	4373.03	1271.87	792.972	0.000169543	0.00113467	-3843.81
1250	1.25	2.48895	2.47525	2.49054	25088.6	0.001249	1435.61	73.2099	253.347	214.649	217.773	218.243	199.332	213.833	175.343	164.306	172.442	140.87	190.772	192.274	187.835	166.416	185.905	190.328	171.319	185.272	191.619	165.715	217.298	140.604	176.896	165.808	226.747	186.833	221.172	222.804	163.455	215.578	224.776	73.4844	74.3459	32.4546	31.2575	43.4197	17.0414	15.0344	249.847	30.6674	81.905	68.9353	130.013	113.142	124.068	132.315	74.4871	105.947	91.5743	126.447	97.1282	97.0727	91.2215	88.2533	95.6549	131.738	116.022	126.104	99.4462	130.672	109.394	0.0890775	0.0337569	0.0202378	0.0153156	0.099055	0.0369671	0.341595	0.0020163	0.00539932	0.00224394	0.00541484	597.613	430.855	53.977	212.622	511.17	996.173	399.07	439.391	884.376	928.329	513.277	245.657	49.4545	2.03203	29.4963	72.9953	32.5101	277.485	126.706	369.17	238.205	112.165	226.712	121.515	30.8199	0.486589	450.687	0	0	-667.883	76.23	687.458	0.00716762	4334.74	1256.77	763.497	0.000283096	0.00172525	-3834.1
1500	1.5	2.46606	2.47525	2.46499	24857.9	0.001499	1421.79	82.5262	239.721	256.923	218.435	183.892	172.293	209.638	152.878	144.522	130.484	181.312	201.562	172.503	202.174	191.332	176.859	201.326	159.382	211.919	185.502	220.874	146.328	176.72	153.479	171.36	211.254	160.33	230.674	227.51	207.192	174.297	230.359	96.9197	73.3876	21.2629	28.5647	16.6152	20.9701	24.763	218.396	12.3139	100.77	73.1183	101.288	119.934	127.079	130.863	78.2841	122.579	123.963	95.9636	127.131	112.696	85.7526	113.845	114.255	114.551	104.48	99.106	97.4766	120.252	101.454	0.130359	0.0489177	0.0285987	0.0226873	0.142599	0.0520782	0.486401	0.00363756	0.00619837	0.00250615	0.00727507	579.938	398.3	64.4703	214.026	500.57	909.861	374.598	434.99	924.535	881.172	464.965	259.576	48.979	2.85394	28.617	75.433	32.0128	302.575	110.894	370.388	301.393	116.103	217.131	140.073	43.9556	0.703864	473.687	0	0	-675.546	84.1024	677.164	0.00996816	4337.47	1218.68	745.477	0.000367853	0.00235412	-3837.33
1750	1.75	2.48501	2.47525	2.48614	25048.9	0.001749	1412.07	78.7979	225.958	248.714	231.303	225.977	156.333	221.848	167.756	133.873	163.68	183.63	179.496	190.565	174.944	166.668	182.299	178.767	194.118	204.51	158.263	186.917	147.771	175.49	164.765	144.357	202.527	214.058	189.169	248.268	205.677	240.009	216.992	97.4693	96.7143	25.677	37.3256	27.0145	19.579	21.3107	206.963	22.4466	95.932	113.305	120.448	94.8874	119.927	149	101.72	104.392	94.5922	100.026	97.9228	84.82	105.849	93.7297	112.921	114.241	102.998	98.8556	108.705	95.5615	88.863	0.176849	0.064967	0.0393313	0.0326002	0.17474	0.0701633	0.668713	0.00413264	0.0071778	0.00422842	0.0101086	642.782	397.181	46.731	213.453	453.328	1004.92	428.59	453.505	845.219	955.34	455.679	294.666	40.3055	3.4726	45.6409	73.9083	23.4529	287.977	129.277	349.576	233.058	125.549	230.925	113.111	58.5109	0.957973	476.971	0	0	-662.665	77.8624	679.122	0.0129655	4368.25	1249.42	736.545	0.00056907	0.0032534	-3816.26
2000	2	2.46227	2.47525	2.46076	24819.7	0.001999	1375.31	83.8649	216.527	209.231	250.006	232.513	154.222	207.063	179.876	160.617	173.749	169.047	235.278	230.363	160.337	175.46	174.17	174.969	192.998	181.271	168.21	159.448	162.205	184.402	147.542	165.217	217.15	180.313	234.762	256.873	259.155	221.034	242.64	82.4204	67.0663	29.7637	26.3728	28.8162	20.0071	26.7671	181.199	12.3395	115.531	104.029	107.366	87.9123	122.747	113.493	88.1342	72.5727	105.54	100.751	128.916	98.1629	87.1301	115.565	96.9952	121.007	118.73	112.1	99.1588	104.825	126.455	0.215083	0.0829773	0.0506904	0.0457403	0.212433	0.0897427	0.87197	0.00495618	0.00893244	0.00555212	0.0142666	602.782	461.55	52.1771	253.146	485.525	953.244	435.977	441.115	866.017	880.201	468.504	298.94	41.7851	4.49943	25.5034	73.1693	23.6966	263.99	138.915	367.455	264.015	127.817	220.389	148.867	74.3103	1.26264	414.437	0	0	-660.693	60.9815	671.277	0.0179124	4341.43	1217.19	709.398	0.000703683	0.00432376	-3825.98
2250	2.25	2.45761	2.47525	2.45556	24772.7	0.002249	1371.27	79.4049	293.917	251.217	210.572	244.984	136.513	198.512	173.914	148.649	203.326	183.249	192.552	193.253	178.505	177.053	156.348	179.087	189.232	188.22	183.234	180.939	144.568	158.38	174.538	169.519	190.304	164.489	193.471	178.686	207.681	265.348	232.56	94.1824	84.8153	23.0006	20.2836	14.7827	14.6867	38.9216	252.002	20.883	35.6884	102.041	104.802	121.21	109.965	128.097	102.131	126.436	101.75	123.19	85.0841	116.578	80.7671	100.54	116.124	106.614	109.087	98.7624	89.681	123.533	113.788	0.271588	0.102596	0.0591027	0.0563937	0.275696	0.111908	1.11435	0.0103526	0.0114441	0.0096367	0.0192795	635.024	467.5	49.1263	226.981	556.404	1010.64	460.798	405.632	772.468	869.572	421.911	254.493	50.1625	5.74402	28.0714	81.3033	29.4208	303.148	99.9552	390.411	242.307	131.528	342.89	134.581	93.4707	1.60161	437.31	0	0	-669.028	66.1508	688.476	0.0231363	4340.82	1255.74	720.639	0.00082947	0.00534437	-3833.24
2500	2.5	2.43971	2.47525	2.43557	24592.2	0.002499	1377.14	73.0831	215.57	239.519	228.155	201.097	154.182	168.059	194.396	163.673	168.54	136.722	192.914	184.608	169.04	185.89	178.627	186.288	183.453	159.609	179.605	196.301	177.991	143.78	146.255	184.269	220.564	147.601	230.62	233.016	221.039	220.262	223.537	103.289	83.6863	22.9746	25.3479	25.7679	28.9534	32.9071	204.872	16.8958	129.087	71.4987	105.893	94.6096	137.841	128.769	84.969	112.076	128.021	101.432	89.3242	100.651	91.3823	99.2474	104.78	92.9194	113.911	117.27	110.312	84.1735	110.276	0.351873	0.127265	0.0718422	0.0711979	0.336923	0.138458	1.36252	0.0114597	0.0160855	0.0120423	0.0215688	596.713	410.327	60.74	181.93	471.584	925.435	398.018	436.046	855.84	904.478	436.394	255.931	58.5215	6.99869	30.4472	77.9315	26.5234	230.247	147.854	415.511	220.466	101.942	242.678	137.935	115.512	1.97867	540.189	0	0	-663.7	72.5797	671.531	0.0267383	4364.33	1262.95	757.71	0.00103692	0.00652359	-3889.63
