step	time	T	T-cg	T-at	Ekin	res	angle_255	angle_256	angle_257	angle_258	angle_259	angle_260	angle_261	angle_262	angle_263	angle_264	angle_265	angle_266	angle_267	angle_268	angle_269	angle_270	angle_271	angle_272	angle_273	angle_274	angle_275	angle_276	angle_277	angle_278	angle_279	angle_280	angle_281	angle_282	angle_283	angle_284	angle_285	angle_286	angle_287	angle_288	angle_289	angle_290	angle_291	angle_292	angle_293	angle_294	angle_295	angle_296	angle_297	angle_298	angle_299	angle_300	angle_301	angle_302	angle_303	angle_304	angle_305	angle_306	angle_307	angle_308	angle_309	angle_310	angle_311	angle_312	angle_313	angle_314	angle_315	angle_316_cross	angle_317_cross	angle_318_cross	angle_319_cross	angle_320_cross	angle_321_cross	angle_322_cross	angle_323_cross	angle_324_cross	angle_325_cross	angle_326_cross	bond_129	bond_130	bond_131	bond_132	bond_133	bond_134	bond_135	bond_136	bond_137	bond_138	bond_138_cross	bond_139	bond_140	bond_141	bond_142	bond_143	bond_144	bond_145	bond_146	bond_147	bond_148	bond_149_cross	bond_150_cross	bond_35	dihedral_0	dihedral_0_cross	dihedral_176	dihedral_190	dihedral_191	dihedral_30_cross	dihedral_51	dihedral_60	dihedral_61	dihedral_61_cross	dihedral_64_cross	lj	lj-tab
4750	4.75	2.47409	2.47525	2.47396	24938.9	1	247.497	224.951	297.4	242.609	174.259	215.58	189.846	191.461	178.077	206.379	197.3	212.79	179.515	168.991	216.669	180.824	166.592	167.756	178.726	183.049	152.94	156.459	204.316	196.667	215.105	219.232	233.43	252.851	233.56	254.846	270.84	78.6587	59.0245	14.4752	23.8323	19.8076	27.5959	39.1647	216.946	32.6946	59.1981	108.671	213.273	221.33	256.183	208.632	110.04	125.049	138.189	135.001	144.496	177.728	120.575	133.362	147.84	149.528	154.524	129.226	129.104	107.863	171.157	254.434	151.764	137.918	178.449	235.42	161.275	1360.4	28.6013	20.9397	17.4423	9.3587	188.73	509.818	939.149	672.257	3310.74	1556.45	952.29	423.25	281.328	29.3784	46.0116	25.1069	56.7286	19.4719	570.861	109.319	911.664	4876.75	150.677	235.175	143.683	446.949	1675.9	436.778	0	0	-512.705	112.377	617.792	951.573	4572.06	1594.28	1113.5	57.951	603.539	-24777.3	0
5000	5	2.50709	2.47525	2.5108	25271.5	1	243.96	225.729	235.943	236.951	162.959	198.697	175.707	197.418	198.079	181.95	199.729	177.4	205.971	195.4	215.807	196.04	221.191	173.277	180.654	226.478	152.936	184.672	225.955	182.643	209.868	249.776	235.231	247.564	214.537	259.223	205.965	79.0762	106.923	11.7534	18.6689	24.2532	34.2631	34.7193	222.77	29.3297	81.1666	108.251	197.978	221.041	281.484	161.011	111.812	133.048	107.921	129.046	151.172	200.761	111.338	119.271	115.892	145.376	163.171	120.577	99.8572	104.298	184.424	242.359	180.493	196.057	169.376	231.64	170.092	1402.16	26.7656	23.838	32.1014	26.7944	216.513	591.85	972.263	680.664	3268.12	1442.18	1049.12	431.49	304.786	65.7787	43.4127	13.4127	65.1698	27.3207	569.357	109.529	945.068	4946.8	144.234	309.095	151.553	436.487	1550.18	485.881	0	0	-509.878	81.1793	629.692	1034.91	4560.13	1586.76	1100.79	64.1055	589.893	-25092.5	0
5250	5.25	2.43861	2.47525	2.43435	24581.2	1	297.767	197.813	244.419	248.831	188.003	220.246	199.567	200.625	168.319	173.195	173.94	178.275	276.795	177.734	208.73	152.866	186.448	231.813	178.05	218.085	166.801	164.728	183.12	183.032	210.388	210.173	226.018	240.753	238.681	308.222	196.167	100.527	92.7423	18.1287	37.0398	24.3107	21.5171	9.01656	225.106	33.9725	62.6326	110.24	192.192	198.725	254.116	175.928	86.9389	110.527	181.96	137.328	175.489	173.614	104.468	128.575	128.215	165.906	178.97	115.405	98.4044	135.045	176.343	277.301	170.443	154.732	172.948	248.385	171.674	1291.68	18.2472	29.8378	19.3866	24.9132	205.4	474.065	996.14	773.457	3011.55	1501.38	1111.73	423.727	303.694	58.0678	63.2906	31.4774	90.7882	15.0301	519.602	99.7492	1101.82	4935.27	141.001	312.599	134.196	500.923	1365.38	471.759	0	0	-507.699	74.0142	646.94	892.843	4558.31	1570.56	1087.81	56.0242	577.371	-25102.9	0
5500	5.5	2.4634	2.47525	2.46202	24831.1	1	226.45	260.499	283.001	260.136	176.295	220.013	176.664	213.821	181.204	149.314	174.909	204.479	236.358	187.831	194.953	175.21	186.401	208.597	170.001	195.711	201.417	166.008	182.597	178.387	206.025	211.432	232.261	212.399	217.799	250.557	266.621	92.6188	52.6247	16.4167	25.601	22.868	19.515	13.9752	196.857	35.3548	87.1867	134.586	223.544	204.153	266.574	156.476	77.9274	111.441	105.563	167.788	146.13	184.993	132.326	117.405	125.367	172.266	190.141	130.925	128.322	124.17	249.37	258.877	169.764	182.679	177.709	231.006	194.92	1226.47	29.1673	27.6096	20.9275	18.3112	227.391	480.043	1013.99	637.661	2969.84	1477.62	1095.21	513.755	308.745	48.7952	61.7804	23.0362	77.0042	34.7058	535.172	135.422	944.754	5274.36	185.095	325.095	133.615	449.476	1180.67	430.682	0	0	-520.348	73.0224	633.457	947.177	4550.98	1558.9	1076.92	60.0411	574.693	-25369	0
5750	5.75	2.4608	2.47525	2.45912	24804.8	1	247.817	291.772	251.887	283.883	150.898	179.06	189.038	229.995	233.48	195.829	192.688	201.023	195.594	195.042	213.799	172.639	168.096	201.666	188.81	187.435	175.166	185.728	186.623	174.075	215.034	207.414	232.989	236.873	238.034	186.646	259.62	75.4542	74.659	26.4612	19.3151	12.1436	31.5953	30.2412	212.292	33.875	91.184	77.8557	157.97	205.84	231.624	173.671	93.9994	115.302	102.814	131.726	154.853	155.807	128.033	92.624	134.687	154.685	147.279	133.97	109.893	125.583	239.457	219.584	149.98	131.284	212.839	263.094	184.042	1318.79	28.0071	21.2918	25.6309	29.2779	266.257	497.897	1014.96	674.845	3320.44	1517.91	1033.33	438.911	295.216	53.7379	39.9409	33.3825	104.932	26.5111	525.472	118.181	989.389	4834.96	131.581	263.779	99.2916	470.457	1057.14	493.99	0	0	-521.277	88.729	649.698	986.114	4538.31	1540.49	1064.13	50.601	578.663	-25309.5	0
6000	6	2.49139	2.47525	2.49327	25113.3	1	253.987	237.2	252.49	251.61	168.806	209.482	175.365	179.38	200.053	152.379	195.289	172.896	226.712	147.528	176.767	226.498	231.308	153.532	199.401	197.009	164.244	188.607	199.231	208.041	191.758	179.976	232.536	177.704	252.818	215.105	255.346	64.2551	75.6045	15.2632	15.5095	27.4712	20.8888	32.5504	237.034	46.0611	74.8196	82.4197	166.822	225.211	281.479	224.091	87.8053	120.531	141.489	124.768	166.034	194.619	123.128	111.361	113.358	153.5	125.203	108.548	113.443	121.085	204.284	256.749	136.055	148.854	154.438	200.15	201.964	1288.44	28.5667	36.1396	34.9213	24.2918	216.782	487.072	1002.75	739.891	3402.22	1389.43	1040.93	437.547	288.041	58.881	30.1494	20.1678	66.5603	23.5005	469.926	149.364	918.724	4799.07	166.814	299.309	139.747	459.173	1034.72	461.841	0	0	-523.074	88.2313	644.324	968.657	4522.58	1520.49	1071.1	64.9935	601.781	-25521.7	0
6250	6.25	2.47992	2.47525	2.48046	24997.6	1	252.559	196.926	221.738	254.267	133.52	217.044	191.156	181.359	168.697	130.809	202.174	156.125	199.432	183.653	185.58	213.606	162.143	179.327	174.675	191.767	166.665	155.638	183.499	227.227	223.535	198.259	202.488	247.752	227.413	226.344	232.855	88.5242	92.9341	23.1829	24.5769	24.1167	19.1074	16.1554	231.383	20.02	89.5545	91.7429	161.761	182.195	259.582	190.256	86.7902	128.817	119.889	148.175	139.517	180.931	129.306	112.717	109.968	114.336	195.67	105.231	123.93	134.741	199.876	208.411	165.637	163.505	188.536	243.324	166.828	1266.4	21.3644	10.841	44.8723	20.5333	210.676	520.029	931.52	745.235	3059.85	1401.41	1041.63	455.717	234.827	56.8125	36.2521	24.2497	86.6859	22.511	672.133	150.881	885.34	4909.9	127.979	253.025	167.02	439.465	1083.29	410.792	0	0	-530.787	75.3373	634.943	904.312	4533.3	1530.11	1051.59	76.1939	602.487	-25442.3	0
6500	6.5	2.47763	2.47525	2.47791	24974.5	1	328.055	240.054	248.653	236.021	196.953	198.979	174.884	179.558	201.252	163.39	166.925	185.88	214.648	153.874	169.623	163.242	161.258	184.926	176.461	177.358	162.212	174.369	198.317	199.509	194.036	174.737	236.596	258.836	249.394	261.65	233.221	93.342	71.16	25.2353	36.5998	15.7248	26.162	20.2921	233.954	30.5875	93.0541	81.1892	215.432	163.428	197.224	199.073	98.877	113.295	142.306	127.721	169.645	211.233	120.683	123.614	119.526	151.967	192.169	94.2521	121.16	122.601	192.889	213.302	147.194	133.657	165.168	251.363	147.061	1169.81	18.7383	18.482	24.0609	20.7208	209.67	478.648	970.517	644.513	3220.71	1536.57	995.83	450.307	275.92	64.0951	45.94	30.1048	70.996	23.0787	583.475	92.8394	948.088	4929.96	132.813	255.487	131.466	453.076	912.532	449.951	0	0	-529.274	58.8782	635.123	912.223	4533.71	1529.06	1082.93	59.7914	573.061	-25634.9	0
6750	6.75	2.49083	2.47525	2.49265	25107.6	1	250.075	227.456	268.942	240.663	194.879	201.913	193.032	183.59	175.194	166.177	205.719	154.513	190.47	207.792	172.487	181.551	181.107	204.152	196.405	181.682	205.692	190.317	205.801	177.038	191.247	220.017	213.265	256.743	248.868	265.832	246.117	97.7415	54.069	17.7547	22.4908	19.3546	24.1707	37.2194	201.521	24.6594	108.775	130.618	167.841	200.039	251.303	194.814	76.1576	115.361	144.1	115.431	171.683	171.185	123.93	138.547	94.5977	149.435	183.327	108.008	100.557	143.891	180.544	207.645	162.406	156.428	174.958	263.396	165.3	1208.03	27.8025	15.0247	30.3412	21.4807	182.118	492.984	979.069	757.295	3016.04	1337.86	989.481	430.744	296.582	59.2508	62.7439	14.2888	60.7231	21.6817	558.119	119.401	974.172	5074.72	148.699	246.862	138.039	478.805	945.029	461.522	0	0	-529.051	70.9277	624.233	951.349	4510.21	1532.82	1099.41	54.2939	578.796	-25817.1	0
7000	7	2.50169	2.47525	2.50477	25217.1	1	243.425	236.905	242.539	280.2	185.458	193.12	206.393	223.323	189.458	151.358	208.722	196.949	233.013	203.195	159.305	198.422	199.452	190.842	234.958	197.499	141.227	180.127	191.515	184.227	196.573	193.072	261.388	243.78	230.186	228.449	270.755	61.674	82.3008	19.7546	41.3587	21.1278	25.3534	20.4572	224.342	26.3422	97.6399	96.5125	156.32	208.73	223.13	153.84	82.4782	127.412	109.465	117.662	175.633	203.836	104.352	128.676	97.6783	159.632	135.858	124.084	136.856	131.96	193.536	289.956	175.511	147.676	190.688	215.167	172.509	1226.84	26.5362	28.8669	26.5509	21.3635	186.698	497.4	960.373	666.178	3163.84	1370.74	1055.1	453.916	260.98	37.0013	35.9872	20.2415	92.7958	14.9074	612.692	139.608	892.751	5035.11	136.403	264.731	146.487	439.327	894.796	460.1	0	0	-523.66	80.8721	656.631	987.785	4519.12	1525.73	1050.82	55.035	601.869	-25761.9	0
