step	time	T	T-cg	T-at	Ekin	res	angle_252_cross	angle_254_cross	angle_255	angle_256	angle_257	angle_258	angle_259	angle_260	angle_261	angle_262	angle_263	angle_264	angle_265	angle_266	angle_267	angle_268	angle_269	angle_270	angle_271	angle_272	angle_273	angle_274	angle_275	angle_276	angle_277	angle_278	angle_279	angle_280	angle_281	angle_282	angle_283	angle_284	angle_285	angle_286	angle_287	angle_288	angle_289	angle_290	angle_291	angle_292	angle_293	angle_294	angle_295	angle_296	angle_297	angle_298	angle_299	angle_300	angle_301	angle_302	angle_303	angle_304	angle_305	angle_306	angle_307	angle_308	angle_309	angle_310	angle_311	angle_312	angle_313	angle_314	angle_315	angle_316_cross	angle_317_cross	angle_318_cross	angle_319_cross	angle_320_cross	angle_321_cross	angle_322_cross	angle_323_cross	angle_324_cross	angle_325_cross	angle_326_cross	bond_125_cross	bond_126_cross	bond_127_cross	bond_129	bond_130	bond_131	bond_132	bond_133	bond_134	bond_135	bond_136	bond_137	bond_138	bond_138_cross	bond_139	bond_140	bond_141	bond_142	bond_143	bond_144	bond_145	bond_146	bond_147	bond_148	bond_149_cross	bond_150_cross	bond_35	dihedral_0	dihedral_0_cross	dihedral_176	dihedral_190	dihedral_191	dihedral_30_cross	dihedral_51	dihedral_60	dihedral_61	dihedral_61_cross	dihedral_64_cross	tab-cg
2750	2.75	2.4915	2.47525	2.49339	25114.3	0.2749	1271.57	65.5043	239.025	222.397	243.787	189.309	155.546	207.407	184.548	201.668	212.757	188.186	173.216	186.049	197.475	173.528	164.5	157.532	201.471	212.645	234.061	193.406	153.384	141.876	154.794	203.041	205.957	167.256	210.945	227.88	257.063	198.876	228.829	103.092	71.0683	29.0357	27.0957	29.5374	11.0525	22.0507	204.012	12.0933	116.122	104.67	101.347	157.738	137.608	128.169	98.8539	105.77	94.7163	148.323	80.2749	90.7336	110.01	127.385	100.859	111.753	210.246	128.692	92.2467	95.5151	103.839	175.856	184.026	197.918	196.581	223.274	173.838	2374.66	18.7721	30.3809	18.5721	18.8214	1011.83	1384.01	89.067	237.39	546.866	987.621	391.636	451.483	912.454	877.865	491.619	226.884	58.5662	52.7375	23.9035	75.9548	24.2841	213.103	139.675	419.036	220.341	113.515	258.018	125.56	460.8	4338.52	451.364	0	0	-592.416	65.9436	681.686	303.201	4398.04	1494.14	739.776	9.45018	60.3525	-3270.26
3000	3	2.51867	2.47525	2.52372	25388.2	0.2999	1242.64	62.6614	247.286	314.146	257.852	249.587	155.349	210.669	225.408	164.403	204.405	226.73	172.79	203.242	169.232	179.423	180.292	162.437	188.289	204.506	214.437	164.876	163.404	125.964	160.298	169.51	208.207	194.745	266.876	213.403	211.903	213.178	249.79	74.208	73.5048	24.4554	22.9577	22.985	10.8942	19.7658	240.739	15.8993	86.5002	96.1322	133.873	168.63	164.043	170.927	83.4593	93.292	119.204	152.748	93.71	115.603	97.7446	113.13	76.4279	114.475	156.924	117.436	106.712	83.0949	85.5864	209.17	140.755	191.994	150.059	190.027	142.178	2301.35	15.1703	18.2514	22.2242	34.9658	1028.38	1299.08	90.7244	223.013	533.931	937.135	433.702	467.147	961.828	952.355	455.673	297.045	75.6497	50.1173	17.2496	84.7692	33.9754	262.234	106.491	411.287	248.74	147.967	233.574	109.059	496.602	4263.12	452.3	0	0	-585.511	83.437	672.767	364.35	4420.9	1536.59	758.588	12.3324	70.3086	-3285.87
3250	3.25	2.49986	2.47525	2.50272	25198.6	0.3249	1217.75	58.515	255.959	223.292	230.962	270.792	173.335	200.956	167.812	182.133	186.445	125.728	180.677	196.791	200.791	175.672	177.482	223.314	201.048	213.858	202.273	185.253	125.033	180.191	181.448	154.864	205.115	199.037	220.617	276.98	229.507	248.292	226.029	108.209	77.9737	16.2178	18.6575	27.0178	21.3628	19.1123	237.652	21.8932	70.2697	98.1629	141.773	179.195	138.864	132.046	130.032	117.485	97.0994	162.908	100.918	95.7181	111.561	132.995	123.207	125.869	152.878	120.49	123.997	120.408	108.192	208.005	211.358	225.669	155.49	188.634	136.318	2102.65	17.6647	22.4167	28.2592	23.3844	1119.67	1225.97	95.9217	254.204	483.602	955.732	454.696	440.857	931.085	843.849	421.995	258.21	53.0051	55.743	20.8369	86.2232	38.6938	250.698	111.084	449.59	253.504	117.517	269.476	165.841	466.179	4096.78	461.04	0	0	-603.905	50.714	668.1	419.927	4416.97	1510.67	738.636	11.6273	82.625	-3214.05
3500	3.5	2.48732	2.47525	2.48872	25072.2	0.3499	1209.01	55.5365	235.669	263.77	259.702	261.345	147.882	208.477	226.756	171.271	160.356	167.781	175.697	179.659	162.358	185.755	191.594	194.256	174.045	203.356	224.111	191.023	166.02	164.088	172.024	187.499	216.049	157.039	193.137	235.048	189.167	226.185	201.545	117.497	97.903	23.2974	18.9742	14.7703	21.8407	22.9227	218.225	50.4617	81.5137	114.586	126.395	155.406	153.99	160.878	96.0224	86.1099	118.596	140.05	91.8308	117.862	96.1976	138.646	132.524	114.663	141.017	101.185	109.178	107.426	86.9163	219.233	179.712	175.978	169.766	232.027	128.642	1670.25	14.4718	34.0521	29.1282	46.3669	1166.71	1183.77	80.939	248.305	532.232	1037.23	440.474	453.546	848.435	898.826	450.183	295.93	48.3981	65.2323	28.886	67.3392	18.2436	247.882	142.875	372.006	246.476	108.601	253.633	107.625	439.87	3830.7	413.304	0	0	-595.045	55.492	661.52	480.267	4388.98	1522.77	734.144	13.9755	102.587	-3188.03
3750	3.75	2.52436	2.47525	2.53007	25445.5	0.3749	1207.14	54.91	261.724	209.997	220.326	208.226	162.226	226.172	203.413	177.598	173.795	190.231	161.925	177.838	230.253	170.265	186.364	175.131	160.597	202.888	198.411	200.732	177.925	149.139	192.379	204.172	190.566	192.358	235.573	207.292	250.799	269.466	231.874	100.116	66.6676	24.5446	24.475	22.5299	24.588	32.4868	224.939	24.6865	71.8173	102.036	123.854	138.064	94.3546	162.403	100.265	114.477	90.388	126.967	110.318	109.133	93.6326	99.6669	93.5813	149.132	133.499	102.87	98.3231	144.091	84.0641	216.682	175.917	160.61	176.875	233.664	157.059	1589.03	48.3023	25.5415	18.388	39.4359	1155.43	1063.24	82.4748	210.247	462.553	927.967	507.49	442.11	907.532	895.09	439.656	279.771	44.373	66.5783	29.1939	74.2492	39.4504	233.206	107.403	394.797	248.076	148.578	262.851	89.2348	481.08	3708.41	492.855	0	0	-583.73	98.0532	677.811	528.876	4374.24	1559.48	741.008	16.5539	105.651	-3096.64
4000	4	2.51453	2.47525	2.5191	25346.5	0.3999	1173.24	55.7108	226.202	189.484	204.701	272.836	153.427	194.341	175.127	150.931	186.513	159.131	208.988	179.037	221.921	159.879	181.536	205.585	169.229	203.257	179.669	193.198	183.099	169	180.451	189.878	204.78	195.532	262.666	202.525	191.797	241.844	250.328	72.7661	79.2815	18.5731	27.3358	29.8869	17.1166	35.1906	224.273	21.4802	92.9001	85.9268	135.963	144.03	170.114	148.36	86.0792	123.697	139.102	182.827	116.983	116.997	101.113	102.181	111.276	138.755	172.687	114.745	102.847	135.382	118.441	218.921	158.291	153.933	186.242	240.157	175.558	1462.71	28.7569	53.329	15.9357	22.2745	1257.84	1052.63	82.8519	199.893	485.452	1002.54	429.942	420.389	882.258	912.653	469.562	283.765	43.2843	36.3405	17.3026	81.6752	32.1711	251.864	131.04	377.642	269.173	116.317	248.218	109.452	460.769	3649.62	392.362	0	0	-593.976	58.5957	659.126	571.456	4390.74	1532.16	733.672	18.5521	127.747	-3112.8
4250	4.25	2.48599	2.47525	2.48723	25058.7	0.4249	1130.04	56.4921	244.89	241.991	256.685	235.009	178.09	220.938	170.686	175.712	186.737	158.831	187.908	189.845	209.957	219.373	201.424	203.25	157.801	223.081	240.206	218.614	168.341	162.984	180.827	187.069	197.666	191.282	246.082	210.31	199.747	190.471	253.998	58.0524	80.3936	22.6373	22.4618	32.2272	26.3065	31.6444	213.554	25.8031	74.6912	91.2825	138.198	120.806	138.004	120.274	94.4209	107.032	95.4743	168.25	129.66	95.8041	100.674	110.71	87.0145	148.573	160.784	109.503	85.5641	82.5668	125.317	235.959	161.329	156.165	168.956	199.85	153.056	1479.71	34.7787	35.9104	20.0117	18.6476	1243.47	980.771	78.6491	237.39	481.095	941.654	467.21	420.75	911.599	911.517	457.163	273.099	52.0747	49.2341	34.7159	79.1715	15.3139	203.956	128.492	419.94	259.19	130.501	310.962	122.065	509.205	3599	441.665	0	0	-576.133	84.6233	667.937	635.574	4382.39	1570.3	753.05	22.7612	147.801	-3091.44
4500	4.5	2.47569	2.47525	2.47574	24954.9	0.4499	1117.85	53.8341	234.401	212.216	226.849	251.387	176.033	214.437	193.658	165.104	159.69	187.583	201.478	178.583	156.546	156.834	177.916	188.755	162.945	187.308	209.218	162.534	180.354	149.941	161.205	160.786	230.605	176.168	195.894	222.009	250.7	239.46	216.586	90.2188	112.216	43.1158	17.4169	20.5021	35.5451	18.7656	229.04	21.0417	77.706	96.9688	114.985	123.829	137.846	124.946	103.472	84.9378	107.304	137.202	101.222	128.333	95.3699	124.927	109.527	104.415	145.979	126.952	121.737	85.857	72.7462	187.648	143.531	171.913	131.356	227.965	124.78	1346.3	23.915	25.2399	20.9384	22.7564	1231.4	910.744	76.9577	231.52	461.281	1046.05	471.651	430.614	914.771	879.339	443.669	303.374	55.5902	40.7526	27.7506	71.6235	23.5407	257.424	120.971	379.463	209.212	90.2123	229.427	133.152	437.512	3368.14	448.429	0	0	-577.429	92.5479	656.706	651.976	4364.21	1583.04	779.468	21.7596	160.808	-3111.04
4750	4.75	2.4827	2.47525	2.48357	25025.6	0.4749	1082.12	52.4649	235.491	216.233	199.121	233.88	152.178	223.407	201.563	202.511	158.277	172.395	157.118	163.657	196.351	206.153	171.732	181.266	184.246	184.185	193.567	154.475	183.649	143.374	172.73	177.005	161.053	179.464	250.238	222.767	225.032	218.255	233.965	94.9188	68.1952	29.1959	17.0507	37.1377	42.836	25.1532	212.437	27.619	76.3604	103.755	96.9276	137.184	133.459	141.647	76.4041	101.838	148.301	142.519	119.118	84.0043	98.1847	93.0428	89.0637	136.213	131.558	135.314	96.5255	97.9946	90.2373	214.156	177.668	183.074	163.35	208.615	155.828	1347.73	20.6006	22.1677	30.6038	15.6024	1305.89	855.696	69.3275	201.273	562.09	923.67	441.656	414.481	821.503	841.229	407.635	270.793	36.6696	40.2748	22.9421	87.6102	9.46942	290.395	131.342	360.204	231.72	125.133	297.468	141.377	496.269	3008.59	455.13	0	0	-579.248	73.698	665.799	742.978	4354.28	1549.3	799.198	21.5791	171.335	-3141.34
5000	5	2.47913	2.47525	2.47958	24989.7	0.4999	1041.97	52.1795	236.699	250.392	203.794	236.022	184.635	210.464	166.444	199.223	194.334	174.65	200.153	176.392	168.687	149.631	154.563	218.673	178.984	158.785	160.649	177.095	162.956	137.825	180.364	173.761	202.869	157.917	208.741	232.73	222.119	274.937	226.116	109.971	70.8173	35.7656	37.3532	17.4274	34.2026	22.0783	198.155	33.0427	106.141	100.331	138.344	97.7679	159.854	160.055	86.7889	119.324	116.916	157.078	101.62	114.309	103.775	97.2057	120.641	88.7749	143.58	109.06	97.2223	89.8068	103.492	221.206	151.633	191.928	161.807	214.417	120.325	1289.79	22.9103	34.9662	26.3299	23.5756	1451.33	807.691	69.732	237.016	498.462	936.531	388.517	463.019	843.929	919.193	428.482	250.004	59.2476	56.4451	31.0946	56.9908	17.025	281.489	101.846	389.261	214.106	127.337	207.694	160.893	452.158	2820.03	434.621	0	0	-578.484	68.8737	659.231	739.327	4361.52	1545.9	811.848	24.5505	191.017	-3133.54
