step	time	T	T-cg	T-at	Ekin	res	angle_252_cross	angle_254_cross	angle_255	angle_256	angle_257	angle_258	angle_259	angle_260	angle_261	angle_262	angle_263	angle_264	angle_265	angle_266	angle_267	angle_268	angle_269	angle_270	angle_271	angle_272	angle_273	angle_274	angle_275	angle_276	angle_277	angle_278	angle_279	angle_280	angle_281	angle_282	angle_283	angle_284	angle_285	angle_286	angle_287	angle_288	angle_289	angle_290	angle_291	angle_292	angle_293	angle_294	angle_295	angle_296	angle_297	angle_298	angle_299	angle_300	angle_301	angle_302	angle_303	angle_304	angle_305	angle_306	angle_307	angle_308	angle_309	angle_310	angle_311	angle_312	angle_313	angle_314	angle_315	angle_316_cross	angle_317_cross	angle_318_cross	angle_319_cross	angle_320_cross	angle_321_cross	angle_322_cross	angle_323_cross	angle_324_cross	angle_325_cross	angle_326_cross	bond_125_cross	bond_126_cross	bond_127_cross	bond_129	bond_130	bond_131	bond_132	bond_133	bond_134	bond_135	bond_136	bond_137	bond_138	bond_138_cross	bond_139	bond_140	bond_141	bond_142	bond_143	bond_144	bond_145	bond_146	bond_147	bond_148	bond_149_cross	bond_150_cross	bond_35	dihedral_0	dihedral_0_cross	dihedral_176	dihedral_190	dihedral_191	dihedral_30_cross	dihedral_51	dihedral_60	dihedral_61	dihedral_61_cross	dihedral_64_cross	tab-cg
2750	2.75	2.46343	2.47525	2.46205	24831.4	0.02749	1387.55	67.5101	221.582	238.887	229.832	257.115	208.427	228.878	151.441	177.455	179.156	177.615	181.241	160.968	200.863	163.07	156.531	179.097	188.119	185.061	171.883	171.071	203.517	143.766	177.241	185.719	179.094	219.338	253.254	232.223	219.193	229.681	221.729	94.1134	76.5691	24.2391	32.1299	21.879	22.4253	21.5794	204.046	19.9844	78.5316	120.747	87.7997	114.532	130.599	164.157	105.818	84.306	115.508	126.272	114.6	92.3167	101.098	102.504	107.949	124.699	149.819	97.3192	115.924	93.0745	97.3088	20.9894	10.7421	8.45722	7.81648	17.795	12.2355	148.749	0.453217	2.35235	0.597807	2.16369	591.175	689.642	72.4946	197.452	495.019	955.778	468.454	473.721	905.856	901.583	492.958	286.839	57.1065	290.354	29.1343	97.165	22.5463	215.4	101.114	368.124	223.768	129.262	249.544	124.397	6234.96	222.636	417.09	0	0	-647.332	85.5664	656.335	3.39654	4396.27	1288.56	911.421	0.0951433	0.75242	-3716.85
3000	3	2.49842	2.47525	2.50111	25184	0.02999	1398.32	68.5551	202.166	266.188	200.615	278.055	166.666	196.299	171.244	181.272	191.614	162.369	195.434	185.886	145.482	191.041	151.179	189.869	222.567	203.22	185.318	189.082	177.864	175.696	160.395	165.287	211.381	173.935	239.284	188.262	223.505	220.982	243.401	78.3862	83.4803	28.3195	27.9092	22.1225	21.9003	15.6737	182.838	37.3449	103.283	107.784	89.8129	146.818	113.008	139.295	73.2751	87.5853	99.3863	123.935	103.57	95.2273	111.468	87.5907	117.825	118.502	127.343	122.989	107.805	111.864	100.844	18.9594	12.2159	8.85522	9.37033	17.0482	13.8398	175.04	0.751067	2.34028	0.715705	1.3281	610.768	724.786	76.1538	251.913	533.478	1007.86	432.253	383.381	873.629	952.217	409.986	260.763	53.0771	311.338	30.2601	72.3797	31.2723	256.26	111.792	334.992	238.474	111.811	253.369	139.543	5945.43	262.141	471.844	0	0	-642.14	80.6809	664.997	4.09412	4400.17	1283.91	894.145	0.114774	0.885069	-3746.06
3250	3.25	2.51753	2.47525	2.52245	25376.7	0.03249	1416.85	72.062	232.41	226.703	248.97	197.535	165.366	187.661	194.72	184.834	245.083	156.096	154.402	193.057	168.93	181.606	185.975	198.523	193.966	204.83	170.288	160.223	154.381	142.876	176.911	173.163	172.559	165.148	211.777	228.753	213.466	212.467	235.668	82.6848	82.0924	29.8835	48.9058	25.6658	34.5452	16.7617	219.907	20.8124	110.079	64.3491	105.125	109.91	128.566	128.752	95.8297	90.3732	78.4365	158.546	117.207	89.9222	95.8769	82.2017	101.217	140.586	113.776	116.867	88.8001	101.079	119.397	21.3798	13.5695	10.4882	10.9819	17.9962	15.6212	208.406	0.956442	2.9909	0.901512	3.44957	625.154	817.78	65.5431	230.472	577.486	1013.98	443.836	420.928	966.291	868.544	439.794	258.96	46.9338	298.337	21.8264	94.153	13.2733	240.798	122.407	376.033	253.389	165.378	284.613	125.324	5516.05	303.853	461.641	0	0	-627.698	76.8349	672.722	4.60716	4411.84	1282.52	841.579	0.135418	1.02669	-3778.36
3500	3.5	2.48097	2.47525	2.48163	25008.1	0.03499	1400.46	73.6473	291.198	217.777	208.786	240.211	163.969	230.527	199.703	195.15	156.486	187.614	202.052	249.969	205.155	153.14	199.341	184.042	182.773	198.002	153.655	221.972	202.984	154.399	181.287	172.232	198.978	146.89	221.604	253.046	215.377	243.763	210.709	94.4531	74.1707	25.9107	26.2658	28.1685	31.7681	24.7624	158.25	22.1674	146.638	101.986	100.498	114.987	121.42	130.538	97.516	112.086	112.344	98.7883	91.9189	107.038	84.6717	96.6439	100.734	130.111	140.35	97.7571	87.6063	95.8081	121.682	21.8327	15.0537	11.044	12.08	20.6651	16.9139	241.065	0.931648	2.38186	0.919649	4.06877	610.46	888.206	72.5851	231.794	488.462	991.459	373.603	403.058	852.111	903.26	395.548	297.012	45.3618	239.647	27.2637	78.2444	13.8251	249.21	124.874	413.811	257.411	140.698	280.998	112.361	5043.43	344.526	488.241	0	0	-640.54	94.1492	659.455	5.39266	4403.89	1304.51	816.657	0.164376	1.10865	-3776.88
3750	3.75	2.51254	2.47525	2.51688	25326.4	0.03749	1402.16	69.5808	240.493	221.945	243.076	258.111	154.741	243.779	209.922	174.529	190.22	180.253	172.012	170.151	206.373	180.318	180.988	192.266	204.493	178.981	190.057	138.819	203.338	138.834	167.327	160.445	179.874	159.024	211.426	242.128	203.223	211.014	210.084	122.067	75.793	15.9918	38.9604	38.8557	11.2831	24.9352	239.758	20.1959	73.1803	95.1939	112.665	97.6059	117.968	126.127	111.801	104.733	105.162	107.21	95.4171	132.421	83.8894	87.141	90.4046	107.504	137.072	99.7317	75.7985	76.3089	128.776	22.7276	16.5065	12.84	13.6026	20.7542	17.0406	271.664	0.832484	4.32975	0.553638	5.10945	616.266	996.147	82.9695	234.237	491.339	941.759	408.66	437.62	868.633	1012.94	424.88	247.971	38.1815	263.023	31.1813	63.9379	30.4455	252.997	93.6917	372.968	251.848	113.343	262.407	123.159	4459.39	392.014	427.864	0	0	-635.001	55.5422	702.324	6.36848	4399.08	1315.18	783.238	0.189117	1.24527	-3780.78
4000	4	2.52844	2.47525	2.53462	25486.7	0.03999	1376.68	74.359	230.234	245.671	202.075	207.223	173.6	196.625	170.406	151.244	230.729	175.971	171.264	206.406	183.396	179.075	178.815	153.87	154.595	186.342	166.981	181.706	164.403	187.491	159.799	151.789	187.051	145.952	217.137	273.786	235.313	220.105	269.148	72.5966	87.4545	29.6724	32.4899	36.9642	23.7116	36.8929	223.453	42.7866	85.2236	81.232	128.297	124.76	131.744	145.618	106.979	91.3733	109.709	103.555	87.2005	111.348	88.107	91.3116	100.998	122.889	119.982	113.291	110.04	93.4299	92.4155	19.5546	18.9335	14.2247	14.7262	22.8246	17.7899	299.223	0.822447	3.50677	0.459866	4.58488	610.432	1022.74	89.7837	241.757	456.402	991.595	442.13	462.969	976.56	849.068	485.893	283.668	34.1774	235.811	26.6898	81.0469	20.3702	265.043	132.016	342.662	258.78	114.797	261.873	108.831	3915.73	442.67	427.44	0	0	-636.25	91.0097	682.62	7.34381	4384.38	1328.74	754.666	0.22556	1.33181	-3719.21
4250	4.25	2.45611	2.47525	2.45389	24757.6	0.04249	1358.64	71.8244	266.033	192.257	214.386	240.367	174.082	188.504	168.137	184.891	188.448	158.912	162.877	178.595	152.612	184.942	146.134	207.401	207.835	187.802	168.165	166.141	186.541	215.005	192.832	198.076	221.537	179.808	233.42	275.769	235.067	230.984	202.409	86.4006	120.948	40.2554	21.5471	20.4923	17.4641	23.4917	228.48	16.31	66.6297	112.308	113.901	114.172	110.157	141.394	105.01	94.6673	95.316	144.682	113.735	101.218	102.918	106.311	77.6075	155.039	164.64	122.412	88.3118	78.545	110.139	21.4962	18.4006	17.1353	16.4606	20.402	18.9993	338.99	1.10188	3.83292	0.986311	3.39049	601.124	1064.65	115.151	212.443	471.736	975.496	421.474	438.683	925.91	916.439	452.558	273.869	70.5716	163.913	35.2887	64.6265	14.1626	272.322	163.203	380.954	253.851	127.212	251.359	152.639	3436.46	493.361	424.752	0	0	-614.169	45.1087	668.826	8.28567	4347.35	1302.54	810.121	0.224077	1.47735	-3753.65
4500	4.5	2.48269	2.47525	2.48355	25025.5	0.04499	1365.89	66.6193	216.266	234.849	283.77	186.195	155.059	175.885	192.511	180.342	199.065	183.016	183.117	179.304	196.564	183.448	186.154	195.359	208.332	156.211	176.706	161.669	177.259	181.115	170.438	178.308	167.042	166.911	254.475	231.151	226.812	206.112	209.788	116.712	81.5905	35.0736	30.2711	36.786	14.9151	23.7064	253.949	29.565	72.3912	57.4008	99.3433	103.933	112.49	140.005	82.4281	106.511	126.674	124.142	122.795	105.119	96.7886	123.744	90.4072	146.597	125.43	117.324	106.566	102.513	108.325	22.3376	19.6922	19.5251	18.4988	26.6784	18.7117	380.036	1.89272	5.13	1.07098	5.2643	616.27	1135.18	128.647	247.485	481.933	932.86	427.827	443.126	695.601	858.974	485.135	249.714	39.4514	147.962	36.724	67.0166	30.672	269.745	144.032	353.061	256.728	113.615	248.902	164.773	2831.16	543.876	464.816	0	0	-628.416	54.1102	666.826	9.2947	4382.79	1316.15	760.869	0.26563	1.60489	-3705.79
4750	4.75	2.463	2.47525	2.46158	24827	0.04749	1356.51	71.1268	248.067	252.003	287.834	217.916	168.297	160.635	179.641	171.329	212.23	164.505	207.285	182.958	202.331	186.841	156.107	210.502	207.969	159.394	173.107	187.056	174.702	160.898	210.125	155.378	214.945	178.847	266.58	243.982	185.932	272.837	251.677	80.2139	71.4256	22.0459	29.7508	27.8251	24.0288	18.6638	217.516	41.8957	85.3843	103.23	102.49	107.642	109.856	128.74	88.4215	106.657	103.451	154.286	91.5514	103.467	94.2637	95.5972	117.559	138.42	129.068	95.2333	100.818	119.043	97.7536	28.9198	21.8118	20.9835	19.1439	27.8546	20.7059	410.908	1.54083	4.95586	1.01842	6.77645	626.972	1191.68	118.833	216.567	416.988	920.154	528.345	432.233	674.06	972.321	386.529	291.293	70.0503	131.802	23.9882	92.6446	12.7198	259.226	112.105	353.808	248.266	130.126	253.711	123.218	2367.55	590.723	428.089	0	0	-634.609	62.2414	672.79	10.3431	4341.22	1299.22	698.72	0.252917	1.73892	-3652.14
5000	5	2.48723	2.47525	2.48862	25071.3	0.04999	1343.55	74.1761	182.544	204.46	269.632	217.168	172.359	213.897	160.189	194.479	181.634	152.545	189.931	212.063	207.956	178.647	165.885	202.379	210.563	178.558	176.153	198.606	180.183	210.948	191.525	140.109	215.324	176.388	221.148	245.379	184.718	236.121	213.817	67.6084	115.679	28.4873	27.4739	20.2759	11.2624	25.7276	201.52	26.9734	86.8689	125.598	127.782	83.4622	117.266	130.761	104.426	110.824	102.661	117.819	116.294	104.265	85.4587	110.245	77.4743	132.075	130.731	97.9886	111.827	106.693	101.887	32.4827	21.5378	24.8801	16.1931	27.115	20.5357	445.873	0.751787	2.51226	1.35593	6.1113	663.565	1191.41	106.676	219.33	452.088	962.688	440.626	482.223	875.776	920.907	430.035	336.734	77.9754	87.7857	34.1862	87.8946	25.9939	237.388	134.84	355.629	245.845	108.007	228.794	117.664	2060.27	633.711	454.492	0	0	-630.586	69.3758	678.67	11.5252	4340.18	1272.05	744.417	0.303203	1.97411	-3657.11
