step	time	T	T-cg	T-at	Ekin	res	angle_252_cross	angle_254_cross	angle_255	angle_256	angle_257	angle_258	angle_259	angle_260	angle_261	angle_262	angle_263	angle_264	angle_265	angle_266	angle_267	angle_268	angle_269	angle_270	angle_271	angle_272	angle_273	angle_274	angle_275	angle_276	angle_277	angle_278	angle_279	angle_280	angle_281	angle_282	angle_283	angle_284	angle_285	angle_286	angle_287	angle_288	angle_289	angle_290	angle_291	angle_292	angle_293	angle_294	angle_295	angle_296	angle_297	angle_298	angle_299	angle_300	angle_301	angle_302	angle_303	angle_304	angle_305	angle_306	angle_307	angle_308	angle_309	angle_310	angle_311	angle_312	angle_313	angle_314	angle_315	angle_316_cross	angle_317_cross	angle_318_cross	angle_319_cross	angle_320_cross	angle_321_cross	angle_322_cross	angle_323_cross	angle_324_cross	angle_325_cross	angle_326_cross	bond_125_cross	bond_126_cross	bond_127_cross	bond_129	bond_130	bond_131	bond_132	bond_133	bond_134	bond_135	bond_136	bond_137	bond_138	bond_138_cross	bond_139	bond_140	bond_141	bond_142	bond_143	bond_144	bond_145	bond_146	bond_147	bond_148	bond_149_cross	bond_150_cross	bond_35	dihedral_0	dihedral_0_cross	dihedral_176	dihedral_190	dihedral_191	dihedral_30_cross	dihedral_51	dihedral_60	dihedral_61	dihedral_61_cross	dihedral_64_cross	tab-cg
250	0.25	6.60454	2.47525	7.08469	66573.7	0.249	1202.91	51.7154	646.919	420.581	409.261	624.259	688.932	281.179	450.702	614.876	1093.25	305.189	316.571	303.279	1166.91	370.536	234.909	426.538	1039.91	286.225	326.411	410.865	379.082	611.395	444.468	192.88	248.457	473.98	1005.21	719.789	495.396	584.642	235.579	90.1253	99.0124	48.5021	21.936	91.2063	39.5349	46.3527	199.576	111.974	58.055	121.057	174.519	154.484	127.553	195.585	85.6589	112.459	95.9349	148.711	121.185	102.101	118.253	119.813	87.1826	191.845	252.3	152.702	95.6883	112.94	99.7271	447.701	309.749	477.528	507.369	373.076	306.395	9280.86	33.6533	99.5625	36.5573	117.669	6328.36	5334.34	267.837	233.088	573.619	1320.41	439.103	474.3	1006.36	921.61	504.705	257.637	48.0826	275.416	24.7897	104.639	30.1795	233.277	133.143	338.291	194.445	121.518	246.612	136.273	3325.99	16064.4	620.721	0	0	-357.019	218.727	694.276	286.879	4574.37	1349.13	1467.68	6.04968	46.5269	-2593.88
500	0.5	3.10782	2.47525	3.18138	31326.8	0.499	1060.78	43.3642	406.981	253.262	352.161	346.371	272.205	201.654	342.462	289.044	365.654	246.258	156.135	214.873	350.145	311.519	236.574	210.021	303.868	242.824	205.763	196.941	236.439	300.22	288.265	207.933	240.102	269.293	341.569	311.032	248.958	408.495	196.114	151.921	71.85	36.1454	19.5312	36.3935	16.4167	13.8293	258.093	56.3944	84.6758	89.028	267.901	446.299	172.586	311.256	105.93	162.665	115.392	278.079	133.246	155.199	134.33	174.801	157.521	247.124	445.771	247.089	184.294	138.87	104.422	327.93	422.941	531.798	649.404	444.843	482.953	9329.97	28.6279	43.0937	30.8657	51.9365	1916.99	1964.33	105.205	246.827	569.787	1027.89	464.084	479.058	830.891	902.182	473.778	289.582	42.4853	62.3929	19.974	79.1091	26.213	319.803	144.656	387.454	273.206	156.576	277.852	151.214	638.746	14267.9	501.043	0	0	-473.229	91.5213	675.23	951.403	4549.37	1864.82	1164.43	33.2081	194.581	-2538.64
750	0.75	2.78048	2.47525	2.81598	28027.3	0.749	657.626	27.2184	267.68	313.252	393.662	351.508	227.544	196.492	243.123	216.914	297.983	204.843	221.959	227.185	290.851	214.773	214.512	231.442	212.35	224.227	186.067	179.829	194.557	183.562	208.693	177.744	167.872	288.029	280.931	285.539	268.983	267.809	211.717	114.398	54.1023	38.711	20.8929	20.1566	30.9098	17.4271	213.474	40.9139	117.258	81.2736	189.24	386.178	219.226	228.521	132.216	126.342	92.4145	250.11	102.939	119.594	184.144	203.241	149.683	154.062	268.749	216.01	124.85	172.877	92.3866	319.392	270.824	232.977	260.632	334.182	285.461	4837.6	24.9569	21.1905	22.4759	10.5417	2142.76	997.805	48.5168	224.775	597.412	967.383	480.384	485.957	920.504	848.196	449.021	354.818	40.6571	55.4083	27.597	74.8622	25.31	232.221	164.748	414.537	273.052	123.276	235.724	131.966	562.111	10956	443.263	0	0	-506.402	87.0851	666.24	1703.27	4524.67	1908.82	1025.89	61.8965	423.79	-2433.04
1000	1	2.65842	2.47525	2.67971	26796.8	0.999	3.15942	0.134812	261.422	247.241	348.948	235.427	194.593	252.76	262.118	276.41	203.308	210.365	202.31	205.964	253.04	231.138	177.599	226.927	286.34	175.341	172.61	182.957	196.578	186.182	260.565	191.834	188.566	263.937	360.632	266.134	235.989	257.966	259.206	76.1446	51.7259	19.2231	36.574	45.7718	26.6055	29.9074	203.071	19.0428	77.7051	131.36	157.267	324.269	168.256	179.637	109.686	140.291	123.919	231.191	92.6008	93.5828	109.26	150.228	142.344	201.1	256.575	190.693	138.629	135.857	125.549	269.238	236.616	179.902	234.906	246.882	212.955	1846.34	39.1979	30.7066	26.537	41.3531	20.1674	4.21374	0.206487	242.369	519.038	968.973	444.586	470.352	903.979	856.907	457.716	305.23	43.4583	66.2736	13.7701	66.3768	26.3025	272.452	154.299	368.217	277.116	124.175	279.204	128.177	527.787	4525.39	453.681	0	0	-536.119	105.905	655.364	1725.33	4508.67	1907.88	1037.47	105.233	706.401	-2286.7
1250	1.25	2.54674	2.47525	2.55505	25671.1	1	0	0	237.065	224.803	232.454	284.905	232.412	209.76	182.952	249.518	193.655	166.173	191.936	170.965	211.896	215.768	179.461	228.629	189.802	147.267	166.601	209.084	193.349	204.092	286.727	182.367	225.046	197.49	232.619	277.405	220.078	188.386	218.192	112.614	75.9794	30.9764	28.3221	22.1241	18.445	20.1164	245.047	21.7517	72.7671	87.5087	137.829	201.368	135.779	125.453	126.024	121.338	103.352	151.543	116.686	102.466	107.849	130.903	129.683	136.537	174.441	108.647	118.448	90.3667	101.533	229.074	229.099	218.588	145.326	222.166	192.517	1333.32	26.7887	30.4227	22.3183	29.5555	0	0	0	199.676	489.619	945.36	485.066	406.301	873.425	886.652	420.839	280.957	42.6054	73.1256	48.3546	77.9383	39.7237	253.634	146.822	393.425	258.752	111.105	271.612	123.093	469.018	1281.21	432.315	0	0	-532.998	76.2936	665.477	1143.71	4489.08	1929.42	1009.28	86.751	675.643	-2327.26
1500	1.5	2.52171	2.47525	2.52711	25418.8	1	0	0	220.553	244.276	254.467	210.59	213.408	199.331	181.203	169.398	198.957	166.639	207.392	203.601	168.328	212.873	173.089	199.862	193.203	175.736	163.124	221.813	159.368	189.062	201.935	166.127	196.542	168.646	231.821	258.017	191.812	225.704	268.817	74.3492	65.7306	25.2011	17.5142	23.8694	38.348	22.464	180.011	23.1814	101.901	127.279	125.563	176.303	131.024	172.423	98.9297	110.069	94.8348	172.937	110.027	104.993	106.557	92.957	89.6353	118.775	150.245	108.955	115.7	84.1477	93.8794	243.979	199.3	158.713	167.637	243.253	163.888	1105.87	17.0618	25.2363	25.524	25.7725	0	0	0	222.976	509.647	995.582	406.987	416.614	800.785	926.61	421.016	283.4	75.7189	36.5634	33.9224	72.625	27.2827	287.123	121.473	337.212	259.886	153.587	232.665	152.873	455.894	825.716	471.145	0	0	-535.869	52.4114	665.919	1029.64	4483.92	1846.11	1001.34	75.8635	647.045	-2401.57
1750	1.75	2.5078	2.47525	2.51158	25278.6	1	0	0	237.322	234.018	204.947	284.548	148.021	195.705	193.652	195.352	217.741	181.525	192.278	212.548	187.631	192.572	184.736	192.036	193.754	236.141	207.634	196.592	188.779	202.726	208.935	163.466	183.267	165.646	212.2	248.732	184.81	220.955	241.271	98.7159	55.546	15.1227	24.0093	26.5084	41.1716	30.4379	198.056	10.6733	103.22	106.836	101.081	158.599	142.718	181.459	114.845	101.136	91.3839	119.468	129.514	91.7156	72.6747	96.2332	112.063	145.938	145.361	92.4711	89.4419	102.755	102.843	245.301	171.432	163.991	179.712	202.343	134.174	1087.57	13.4862	22.9041	25.3454	29.8793	0	0	0	270.475	523.062	973.908	473.198	425.733	942.661	806.831	414.1	236.815	33.2431	57.5579	12.4225	64.4589	33.5271	198.594	161.862	339.227	261.111	127.45	214.204	107.281	476.039	669.106	494.563	0	0	-544.385	83.9214	641.769	967.326	4455.3	1818.65	1001.05	74.3353	669.382	-2530.24
2000	2	2.48395	2.47525	2.48496	25038.2	1	0	0	227.7	233.852	220.373	285.72	167.395	163.35	186.155	195.618	223.163	178.042	185.331	221.433	141.992	172.529	162.42	185.833	202.684	197.583	179.077	204.036	193.641	183.875	197.848	141.117	202.393	158.458	204.804	258.396	214.056	183.531	230.016	80.1062	86.6979	25.6086	13.1778	21.8108	27.0006	17.7752	234.476	22.9191	102.719	84.4615	94.6683	145.214	127.679	139.54	91.0649	89.6165	122.447	111.336	98.5561	86.5781	94.0626	131.011	99.0455	119.98	131.883	98.3237	89.5123	116.534	100.801	228.102	129.315	146.754	157.22	207.038	160.388	1068.4	30.8804	22.6825	19.413	14.1386	0	0	0	248.221	556.993	924.899	425.176	436.31	804.598	898.819	537.563	269.317	38.2232	67.7107	18.7846	83.5699	37.0546	246.841	126.532	384.477	249.942	135.544	208.229	124.923	473.242	570.011	467.875	0	0	-544.314	72.941	662.851	848.051	4453.07	1809.67	991.112	75.0418	640.063	-2576.79
